Date,Protocol,Diagnosis,Pen,cost,eid,tag,Breed,Class,Weight (Lb)
11/08/2024,NUFLOR,-,1,$12.11,-,2253,-,Heifer,548
11/08/2024,DRAXXIN,-,1,$9.76,-,2252,-,Heifer,548
11/08/2024,IV,-,1,$1.20,-,1302,Cross-Bred,Heifer,555
11/08/2024,DRAXXIN,-,1,$9.89,-,1302,Cross-Bred,Heifer,555
11/08/2024,DRAXXIN,-,1,$9.89,-,1261,Cross-Bred,Heifer,555
11/08/2024,IV,-,1,$1.20,-,2255,-,Heifer,548
11/08/2024,DRAXXIN,-,1,$9.76,-,2255,-,Heifer,548
11/08/2024,IV,-,1,$1.20,-,2236,-,Heifer,548
11/08/2024,DRAXXIN,-,1,$9.76,-,2236,-,Heifer,548
11/08/2024,IV,-,1,$1.20,-,2285,-,Heifer,548
11/08/2024,DRAXXIN,-,1,$9.76,-,2285,-,Heifer,548
11/08/2024,IV,-,1,$1.20,-,1298,Cross-Bred,Heifer,555
11/08/2024,DRAXXIN,-,1,$9.89,-,1298,Cross-Bred,Heifer,555
11/08/2024,DRAXXIN,-,1,$9.76,-,2238,-,Heifer,548
11/08/2024,DRAXXIN,-,1,$9.76,-,2274,-,Heifer,548
11/08/2024,DRAXXIN,-,1,$9.89,-,1263,Cross-Bred,Heifer,555
11/08/2024,PENICILLIN,-,13,$2.50,-,7169,Cross-Bred,Heifer,466
11/08/2024,BAYTRIL,-,13,$5.74,-,7169,Cross-Bred,Heifer,466
11/08/2024,PENICILLIN,-,12,$2.50,-,33185,Angus,Steer,486
11/08/2024,PENICILLIN,-,12,$2.50,-,33163,Angus,Steer,486
11/08/2024,BAYTRIL,-,12,$5.99,-,33185,Angus,Steer,486
11/08/2024,BAYTRIL,-,12,$5.99,-,33163,Angus,Steer,486
11/08/2024,PENICILLIN,-,12,$2.50,-,33218,Angus,Steer,486
11/08/2024,BAYTRIL,-,12,$5.99,-,33218,Angus,Steer,486
11/08/2024,PENICILLIN,-,12,$2.50,-,33183,Angus,Steer,486
11/08/2024,BAYTRIL,-,12,$5.99,-,33183,Angus,Steer,486
11/08/2024,PENICILLIN,-,1,$2.50,-,1287,Cross-Bred,Heifer,555
11/08/2024,BAYTRIL,-,1,$6.83,-,1287,Cross-Bred,Heifer,555
11/08/2024,BAYTRIL,-,12,$5.99,-,33188,Angus,Steer,486
11/08/2024,BAYTRIL,-,12,$5.99,-,33188,Angus,Steer,486
11/08/2024,BAYTRIL,-,1,$6.83,-,1251,Cross-Bred,Heifer,555
11/08/2024,PENICILLIN,-,1,$2.50,-,1251,Cross-Bred,Heifer,555
11/08/2024,BAYTRIL,-,1,$6.83,-,1259,Cross-Bred,Heifer,555
11/08/2024,PENICILLIN,-,1,$2.50,-,1259,Cross-Bred,Heifer,555
11/08/2024,BAYTRIL,-,12,$5.99,-,33212,Angus,Steer,486
11/08/2024,PENICILLIN,-,12,$2.50,-,33212,Angus,Steer,486
11/08/2024,BAYTRIL,-,12,$7.07,-,22174,Cross-Bred,Steer,574
11/08/2024,BAYTRIL,-,12,$5.99,-,33207,Angus,Steer,486
11/08/2024,PENICILLIN,-,12,$2.50,-,33207,Angus,Steer,486
11/08/2024,BAYTRIL,-,1,$6.75,-,2279,-,Heifer,548
11/08/2024,PENICILLIN,-,1,$2.50,-,2279,-,Heifer,548
11/08/2024,BAYTRIL,-,13,$5.74,-,7158,Cross-Bred,Heifer,466
11/08/2024,PENICILLIN,-,13,$2.50,-,7158,Cross-Bred,Heifer,466
11/08/2024,BAYTRIL,-,12,$5.99,-,33172,Angus,Steer,486
11/08/2024,PENICILLIN,-,12,$2.50,-,33172,Angus,Steer,486
11/08/2024,BAYTRIL,-,12,$7.07,-,22174,Cross-Bred,Steer,574
11/08/2024,PENICILLIN,-,12,$2.50,-,22174,Cross-Bred,Steer,574
11/08/2024,PENICILLIN,-,12,$2.50,-,33250,Angus,Steer,659
11/08/2024,BAYTRIL,-,12,$8.12,-,33250,Angus,Steer,659
11/08/2024,BAYTRIL,-,12,$5.99,-,33227,Angus,Steer,486
11/08/2024,PENICILLIN,-,12,$2.50,-,33227,Angus,Steer,486
11/08/2024,BAYTRIL,-,12,$5.99,-,33225,Angus,Steer,486
11/08/2024,PENICILLIN,-,12,$2.50,-,33225,Angus,Steer,486
11/08/2024,DRAXXIN,-,21,$9.73,-,9139,Angus,Heifer,546
11/08/2024,BAYTRIL,-,23,$7.89,-,5193,Cross-Bred,Heifer,641
11/08/2024,IV,-,23,$1.20,-,5204,Cross-Bred,Heifer,641
11/08/2024,NUFLOR,-,23,$14.17,-,5204,Cross-Bred,Heifer,641
11/08/2024,DRAXXIN,-,21,$9.73,-,9135,Angus,Heifer,546
11/08/2024,DRAXXIN,-,21,$9.73,-,9106,Angus,Heifer,546
11/08/2024,NUFLOR,-,21,$12.07,-,9137,Angus,Heifer,546
11/08/2024,PENICILLIN,-,13,$2.50,-,7109,Cross-Bred,Heifer,466
11/08/2024,DRAXXIN,-,13,$8.31,-,7109,Cross-Bred,Heifer,466
11/08/2024,PENICILLIN,-,13,$2.50,-,7114,Cross-Bred,Heifer,466
11/08/2024,DRAXXIN,-,13,$8.31,-,7114,Cross-Bred,Heifer,466
11/08/2024,PENICILLIN,-,11,$2.50,-,2131,Angus,Heifer,617
11/08/2024,IV,-,11,$1.20,-,2131,Angus,Heifer,617
11/08/2024,DRAXXIN,-,11,$11.00,-,2131,Angus,Heifer,617
11/08/2024,PENICILLIN,-,12,$2.50,-,33228,Angus,Steer,486
11/08/2024,IV,-,12,$1.20,-,33228,Angus,Steer,486
